date,outcome_value
2026-07-01,5.33
2026-07-02,5.35
2026-07-03,5.42
2026-07-04,5.32
2026-07-05,5.28
2026-07-06,5.28
2026-07-07,5.36
2026-07-08,5.4
2026-07-09,5.39
2026-07-10,5.34
2026-07-11,5.35
2026-07-12,5.26
2026-07-14,5.3
2026-07-15,5.29
2026-07-16,5.34
2026-07-17,5.4
2026-07-18,5.3
2026-07-19,5.22
2026-07-20,5.32
2026-07-22,5.3
2026-07-23,5.06
2026-07-24,4.85
2026-07-25,4.63
2026-07-26,4.53
2026-07-27,4.33
2026-07-28,4.13
2026-07-29,3.89
2026-07-30,3.77
2026-07-31,3.54
2026-08-01,3.37
2026-08-02,3.16
2026-08-03,3.11
2026-08-04,2.92
2026-08-05,2.72
2026-08-06,2.36
2026-08-07,2.19
2026-08-08,2.17
2026-08-09,2.16
2026-08-10,2.29
2026-08-11,2.17
2026-08-12,2.31
2026-08-13,2.14
2026-08-14,2.27
2026-08-15,2.2
2026-08-16,2.25
2026-08-17,2.24
2026-08-18,2.17
2026-08-19,2.24
2026-08-20,2.15
2026-08-21,2.24
2026-08-22,2.21
2026-08-23,2.12
2026-08-24,2.23
2026-08-25,2.1
2026-08-26,2.22
2026-08-27,2.13
2026-08-28,2.13
2026-08-29,2.07
2026-08-30,2.26
2026-08-31,2.11
2026-09-01,2.17
2026-09-02,2.21
2026-09-03,2.13
2026-09-04,2.05
2026-09-05,2.1
2026-09-06,2.18
2026-09-07,2.13
2026-09-08,2.22
